Neo Reference ID,Name,Absolute Magnitude,Est Dia in KM(min),Est Dia in KM(max),Close Approach Date,Relative Velocity km per sec,Miss Dist.(Astronomical),Miss Dist.(kilometers),Orbit ID,Orbit Determination Date,Orbit Uncertainity,Minimum Orbit Intersection,Hazardous,Epoch Osculation,Eccentricity,Semi Major Axis,Inclination,Aphelion Dist,Perihelion Time,Mean Anomaly
3022970,3022970,20.5,0.06,0.06,2006-10-15,0.43,0.25,0.25,33,2017-04-06 09:17:21,0,0.0285212,1,2458000.5,0.6132024443842551,1.453638987868928,0.31,0.28,0.89,0.13
3467177,3467177,20.5,0.06,0.06,2009-12-15,0.53,0.97,0.97,20,2017-04-06 09:00:04,6,0.0256712,1,2458000.5,0.8042822543250194,2.205460558120721,0.07,0.61,0.85,0.34
3761480,3761480,21.6,0.04,0.04,2013-01-08,0.47,0.83,0.83,21,2017-09-15 06:22:49,6,0.0215439,1,2458000.5,0.7947465685872241,2.491291904844728,0.05,0.71,0.87,0.17
3092253,3092253,22.6,0.02,0.02,1997-02-22,0.46,0.48,0.48,18,2017-04-06 09:17:05,2,0.0190291,1,2458000.5,0.466784468696041,0.8170200816065704,0.05,0.05,0.9,0.05
2434326,2434326,18.4,0.16,0.16,2007-04-15,0.4,0.56,0.56,33,2017-04-06 09:20:49,1,0.03814,1,2458000.5,0.5311980211575074,0.6352164510266495,0.25,0.0,0.91,0.88
2451370,2451370,21.5,0.04,0.04,2006-11-15,0.15,0.79,0.79,43,2017-04-06 09:20:08,0,0.0377422,1,2458000.5,0.2307270181901738,1.187732895267396,0.07,0.1,0.93,0.66
3557843,3557843,20.6,0.06,0.06,2010-04-22,0.21,0.57,0.57,30,2017-04-06 08:54:23,3,0.00112508,1,2458000.5,0.0498303132486554,0.956820200455566,0.14,0.01,0.89,0.34
3025767,3025767,21.7,0.03,0.03,1997-07-22,0.16,0.44,0.44,32,2017-05-05 06:17:53,1,0.0181098,1,2457800.5,0.2768393823938556,1.033858498481567,0.03,0.07,0.9,0.53
3311964,3311964,21.8,0.03,0.03,2004-01-22,0.33,0.82,0.82,49,2017-04-06 09:09:25,1,0.0112919,1,2458000.5,0.6491912426133525,0.9822113215329352,0.05,0.13,0.92,0.73
2484402,2484402,19.6,0.09,0.09,1995-06-08,0.41,0.71,0.71,72,2017-06-28 06:19:14,0,0.014981,1,2458000.5,0.2347705612442139,1.18707590311588,0.36,0.1,0.88,0.39
3124996,3124996,20.3,0.07,0.07,2014-11-22,0.37,0.9,0.9,18,2017-04-22 06:17:04,1,0.0196539,1,2458000.5,0.305298541710261,0.7701022535820686,0.06,0.01,0.9,0.14
3715507,3715507,21.7,0.03,0.03,2005-10-22,0.18,0.1,0.1,40,2017-04-06 08:34:32,2,0.0227346,1,2458000.5,0.2000324558650823,1.068023019396425,0.16,0.07,0.91,0.91
3653902,3653902,21.8,0.03,0.03,2013-09-15,0.16,0.25,0.25,11,2017-04-06 08:43:34,2,0.023663,1,2458000.5,0.3669816450802241,1.412717016003099,0.08,0.2,0.87,0.4
2155338,2155338,20.5,0.06,0.06,1996-12-15,0.45,0.51,0.51,24,2017-04-06 09:26:51,0,0.0129026,1,2458000.5,0.4825763357530656,1.569400633183634,0.03,0.28,0.94,0.6
2450270,2450270,20.7,0.05,0.05,2016-01-15,0.3,0.25,0.25,27,2017-04-06 09:20:11,0,0.0210776,1,2458000.5,0.332536322541127,1.431569031076949,0.25,0.19,0.91,0.93
2359170,2359170,20.0,0.08,0.08,2009-01-15,0.34,0.42,0.42,24,2017-04-06 09:22:53,1,0.035022,1,2458000.5,0.4655482808720745,1.544968600175054,0.16,0.26,0.94,0.56
3479127,3479127,19.1,0.11,0.11,1997-01-15,0.34,0.2,0.2,21,2017-06-05 06:16:50,1,0.0491135,1,2458000.5,0.3854974330766134,1.374216528118172,0.23,0.19,0.91,0.88
3602685,3602685,17.9,0.2,0.2,2012-10-15,0.4,0.7,0.7,57,2017-04-06 08:50:05,1,0.035299,1,2458000.5,0.6065609465764609,2.003090836491577,0.41,0.46,0.94,0.77
3409961,3409961,21.2,0.04,0.04,2003-06-15,0.26,0.12,0.12,51,2017-04-06 09:03:34,0,0.00300594,1,2458000.5,0.4924298444358191,1.853800898069743,0.01,0.36,0.95,0.61
2085990,2085990,20.2,0.07,0.07,2003-04-22,0.16,0.58,0.58,229,2017-04-06 09:28:32,0,0.0311616,1,2456067.5,0.3113896916773102,1.008096929579188,0.07,0.07,0.68,0.6
3170204,3170204,21.6,0.04,0.04,2010-09-22,0.35,0.44,0.44,35,2017-04-06 09:13:23,0,0.0311029,1,2458000.5,0.3132730207645655,0.930771577611708,0.09,0.05,0.91,0.96
2006037,2006037,18.7,0.14,0.14,2010-11-22,0.35,0.71,0.71,72,2017-07-25 06:18:17,0,0.0242774,1,2458000.5,0.4997483753146983,1.271143165206391,0.05,0.19,0.92,0.73
2302169,2302169,19.9,0.08,0.08,2002-12-15,0.7,0.85,0.85,22,2017-04-06 09:24:07,0,0.026816,1,2458000.5,0.7774813126655364,0.7967790476136839,0.34,0.09,0.92,0.55
2068346,2068346,16.9,0.32,0.32,2016-09-08,0.25,0.53,0.53,190,2017-04-06 09:28:47,0,0.0381127,1,2458000.5,0.4166767550850329,1.507454135226221,0.22,0.24,0.95,0.53
3436380,3436380,20.5,0.06,0.06,2012-01-22,0.3,0.58,0.58,28,2017-04-06 09:02:16,1,0.0197962,1,2458000.5,0.2750210450819041,1.277553997008714,0.14,0.14,0.92,0.81
3160850,3160850,19.8,0.08,0.08,2003-09-22,0.28,0.26,0.26,26,2017-04-06 09:13:42,1,0.0206764,1,2458000.5,0.6471413114439605,2.34787281669121,0.06,0.59,0.92,0.91
3464007,3464007,21.5,0.04,0.04,2009-08-08,0.24,0.07,0.07,24,2017-04-06 09:00:22,4,0.00556992,1,2458000.5,0.5989381702508891,2.352438830364186,0.12,0.56,0.87,0.21
3754438,3754438,20.6,0.06,0.06,2011-07-22,0.28,0.84,0.84,15,2017-04-06 08:25:10,4,0.00017745,1,2458000.5,0.6030215272338272,1.83700084933408,0.31,0.4,0.86,0.38
2088254,2088254,17.6,0.23,0.23,2008-07-08,0.27,0.97,0.97,121,2017-08-16 06:21:37,0,0.0100036,1,2458000.5,0.6296879623294294,1.182134944476101,0.02,0.2,0.91,0.93
3776278,3776278,21.457,0.04,0.04,2003-07-15,0.22,0.54,0.54,9,2017-09-13 06:18:33,4,0.0484508,1,2458000.5,0.2544857497043958,0.9560184510476546,0.25,0.05,0.93,0.53
